Sno,Organisation,Location,Day,Month,Date,Time,Detail,Status Rocket,Price,Status Mission,
1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Thu,Aug,6, 2020 04:01 UTC,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75,Success,
2,SpaceX,"Pad A, Boca Chica, Texas, USA",Tue,Aug,4, 2020 23:57 UTC,Starship Prototype | 150 Meter Hop,StatusActive,0,Success,
3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Thu,Jul,30, 2020 21:25 UTC,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65,Success,
4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Thu,Jul,30, 2020 11:50 UTC,Atlas V 541 | Perseverance,StatusActive,145,Success,
5,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Sat,Jul,25, 2020 03:13 UTC,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68,Success,
6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Thu,Jul,23, 2020 14:26 UTC,Soyuz 2.1a | Progress MS-15,StatusActive,48.5,Success,
7,CASC,"LC-101, Wenchang Satellite Launch Center, China",Thu,Jul,23, 2020 04:41 UTC,Long March 5 | Tianwen-1,StatusActive,0,Success,
8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Mon,Jul,20, 2020 21:30 UTC,Falcon 9 Block 5 | ANASIS-II,StatusActive,50,Success,
9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",Sun,Jul,19, 2020 21:58 UTC,H-IIA 202 | Hope Mars Mission,StatusActive,90,Success,
10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",Wed,Jul,15, 2020 13:46 UTC,Minotaur IV | NROL-129,StatusActive,46,Success,
11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Fri,Jul,10, 2020 04:17 UTC,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3,Failure,
